2016-02-23:03:49:18  -----  Authenticate; URL: http://hiipa.loc/auth/authenticate
2016-02-23:03:49:18  -----  Open index page; URL: http://hiipa.loc/application
2016-02-23:03:49:19  -----  Open admin dashboard page; URL: http://hiipa.loc/dashboard/admin
2016-02-23:03:50:03  -----  Open assessments list page; URL: http://hiipa.loc/assessment/list
2016-02-23:03:50:05  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:03:56:12  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:03:56:26  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:03:58:12  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:03:58:32  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:03:58:36  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/293
2016-02-23:03:58:42  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:03:58:44  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:03:59:20  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/293
2016-02-23:03:59:35  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/294
2016-02-23:04:02:05  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:02:45  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:02:47  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196/location/293
2016-02-23:04:03:07  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:04:12  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:04:59  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:05:47  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:06:16  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:06:53  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:07:10  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:07:29  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:07:41  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:08:00  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:08:12  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
2016-02-23:04:08:23  -----  Open assessments edit list page "196"; URL: http://hiipa.loc/assessment/editlist/196
